"valuation_date","ticker","quote_date","stale_days","price"
2018-05-18,"^GSPC",2018-05-18,0,2712.96997070312
2018-05-25,"^GSPC",2018-05-25,0,2721.330078125
2018-06-01,"^GSPC",2018-06-01,0,2734.6201171875
2018-06-08,"^GSPC",2018-06-08,0,2779.03002929688
2018-06-15,"^GSPC",2018-06-15,0,2779.65991210938
2018-06-22,"^GSPC",2018-06-22,0,2754.8798828125
2018-06-29,"^GSPC",2018-06-29,0,2718.3701171875
2018-07-06,"^GSPC",2018-07-06,0,2759.82006835938
2018-07-13,"^GSPC",2018-07-13,0,2801.31005859375
2018-07-20,"^GSPC",2018-07-20,0,2801.830078125
2018-07-27,"^GSPC",2018-07-27,0,2818.82006835938
2018-08-03,"^GSPC",2018-08-03,0,2840.35009765625
2018-08-10,"^GSPC",2018-08-10,0,2833.28002929688
2018-08-17,"^GSPC",2018-08-17,0,2850.1298828125
2018-08-24,"^GSPC",2018-08-24,0,2874.68994140625
2018-08-31,"^GSPC",2018-08-31,0,2901.52001953125
2018-09-07,"^GSPC",2018-09-07,0,2871.67993164062
2018-09-14,"^GSPC",2018-09-14,0,2904.97998046875
2018-09-21,"^GSPC",2018-09-21,0,2929.669921875
2018-09-28,"^GSPC",2018-09-28,0,2913.97998046875
2018-10-05,"^GSPC",2018-10-05,0,2885.57006835938
2018-10-12,"^GSPC",2018-10-12,0,2767.1298828125
2018-10-19,"^GSPC",2018-10-19,0,2767.78002929688
2018-10-26,"^GSPC",2018-10-26,0,2658.68994140625
2018-11-02,"^GSPC",2018-11-02,0,2723.06005859375
2018-11-09,"^GSPC",2018-11-09,0,2781.01000976562
2018-11-16,"^GSPC",2018-11-16,0,2736.27001953125
2018-11-23,"^GSPC",2018-11-23,0,2632.56005859375
2018-11-30,"^GSPC",2018-11-30,0,2760.169921875
2018-12-07,"^GSPC",2018-12-07,0,2633.080078125
2018-12-14,"^GSPC",2018-12-14,0,2599.94995117188
2018-12-21,"^GSPC",2018-12-21,0,2416.6201171875
2018-12-28,"^GSPC",2018-12-28,0,2485.73999023438
2019-01-04,"^GSPC",2019-01-04,0,2531.93994140625
2019-01-11,"^GSPC",2019-01-11,0,2596.26000976562
2019-01-18,"^GSPC",2019-01-18,0,2670.7099609375
2019-01-25,"^GSPC",2019-01-25,0,2664.76000976562
2019-02-01,"^GSPC",2019-02-01,0,2706.53002929688
2019-02-08,"^GSPC",2019-02-08,0,2707.8798828125
2019-02-15,"^GSPC",2019-02-15,0,2775.60009765625
2019-02-22,"^GSPC",2019-02-22,0,2792.669921875
2019-03-01,"^GSPC",2019-03-01,0,2803.68994140625
